timestamp,n_estimators,max_depth,mean_acc,mean_f1,mean_time
2025-10-31 13:43:50,50,5,0.83,0.8239,0.13
2025-10-31 13:43:52,50,10,0.8781,0.8757,0.14
2025-10-31 13:43:54,50,15,0.8827,0.8809,0.14
2025-10-31 13:43:56,50,20,0.8848,0.8831,0.14
2025-10-31 13:43:59,100,5,0.8321,0.8255,0.23
2025-10-31 13:44:02,100,10,0.876,0.8736,0.25
2025-10-31 13:44:06,100,15,0.8827,0.881,0.26
2025-10-31 13:44:09,100,20,0.8848,0.8828,0.26
2025-10-31 13:44:13,150,5,0.8305,0.8235,0.32
2025-10-31 13:44:18,150,10,0.878,0.8756,0.37
2025-10-31 13:44:23,150,15,0.8858,0.8839,0.38
2025-10-31 13:44:28,150,20,0.8853,0.8834,0.38
